,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,22,39722,David Alaba,30.0," D(CL),M(CL)",180.0,78.0,6(1),6.0,1,543.0,3.0,1.1,47.3,90.3,0.4,1.1,0.1,6.64
1,23,353423,Aurélien Tchouaméni,22.0, DMC,185.0,80.0,6,6.0,0,471.0,2.0,1.3,58.3,92.0,0.0,1.7,0.3,7.38
2,24,347862,Rodrygo,21.0, AM(CLR),174.0,64.0,4(1),4.0,1,378.0,2.0,1.8,22.2,89.2,0.6,0.4,0.2,7.77
3,25,144890,Dani Ceballos,26.0, M(CL),179.0,70.0,2(5),2.0,5,166.0,1.0,1.1,22.3,92.9,0.1,0.7,0.0,6.47
4,26,106883,Daniel Carvajal,30.0, D(R),173.0,73.0,4(2),4.0,2,359.0,1.0,0.3,28.3,87.6,0.2,2.0,0.0,6.62
5,27,344644,Federico Valverde,24.0, M(CLR),182.0,78.0,5(2),5.0,2,482.0,1.0,1.6,37.4,89.3,0.1,1.1,0.0,7.24
6,28,14296,Karim Benzema,34.0, FW,185.0,81.0,5,5.0,0,450.0,1.0,2.6,48.6,86.4,0.0,1.0,0.4,7.51
7,29,20874,Luka Modric,37.0, M(C),172.0,66.0,4(2),4.0,2,373.0,1.0,1.5,46.7,91.8,0.7,3.5,0.7,7.12
8,30,31772,Toni Kroos,32.0, M(C),183.0,76.0,5(1),5.0,1,423.0,1.0,1.8,72.8,94.3,1.5,6.5,0.0,7.04
9,31,337782,Vinícius Júnior,22.0," AM(L),FW",176.0,73.0,7,7.0,0,616.0,1.0,1.9,35.1,78.0,0.3,0.7,0.1,7.76
10,32,345031,Andriy Lunin,23.0, GK,191.0,80.0,1,1.0,0,90.0,0.0,0.0,18.0,94.4,0.0,0.0,0.0,5.94
11,33,104010,Antonio Rüdiger,29.0, D(CR),190.0,85.0,4(3),4.0,3,398.0,0.0,0.1,34.0,91.2,0.0,1.4,0.0,6.37
12,34,88526,Casemiro,30.0, DMC,185.0,84.0,0(1),0.0,1,7.0,0.0,0.0,8.0,87.5,0.0,1.0,0.0,6.02
13,35,33404,Eden Hazard,31.0," M(CLR),FW",175.0,74.0,1(2),1.0,2,98.0,0.0,1.0,23.0,89.9,0.0,0.7,0.0,6.15
14,36,337879,Éder Militão,24.0, D(CR),186.0,78.0,4(1),4.0,1,376.0,0.0,0.0,39.2,91.3,0.0,2.6,0.0,6.57
15,37,369109,Eduardo Camavinga,19.0, DMC,182.0,68.0,3(4),3.0,4,289.0,0.0,0.9,23.7,92.2,0.1,1.0,0.1,6.56
16,38,296337,Ferland Mendy,27.0," D(L),M(L)",180.0,73.0,6,6.0,0,461.0,0.0,1.0,51.0,95.8,0.2,1.2,0.0,6.69
17,39,106875,Nacho,32.0, D(CLR),180.0,76.0,1(1),1.0,1,121.0,0.0,0.0,39.5,97.5,0.0,1.0,0.0,6.63
18,40,144511,Lucas Vázquez,31.0," D(R),M(R)",173.0,70.0,3(1),3.0,1,259.0,0.0,1.0,39.0,91.7,0.5,1.3,0.0,6.72
19,41,137467,Marco Asensio,26.0," AM(CLR),FW",182.0,76.0,0(3),0.0,3,28.0,0.0,0.3,3.0,88.9,0.0,0.0,0.0,6.11
20,42,323236,Mariano Díaz,29.0, FW,180.0,76.0,0(1),0.0,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.03
21,43,73798,Thibaut Courtois,30.0, GK,200.0,96.0,6,6.0,0,540.0,0.0,0.2,27.8,80.8,0.0,5.2,0.0,6.8
