,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,115479,Wout Weghorst,30, FW,197,84,33(1),33,1,2950,20,8,3,0,2.7,66.1,2.8,6,7.31
1,108919,Maximilian Arnold,28, M(CR),184,74,30,30,0,2591,3,6,7,1,1.8,84.4,1.4,5,7.3
2,401130,Maxence Lacroix,22, D(C),190,88,29(1),29,1,2591,1,1,5,0,0.5,83.4,2.0,1,7.03
3,115230,Kevin Mbabu,27," D(R),M(R)",184,83,19(3),19,3,1646,0,1,7,0,0.5,69.2,1.5,1,7.0
4,356183,Ridle Baku,24," D(R),M(CR)",176,72,31(1),31,1,2688,6,6,1,0,1.1,76.0,0.5,0,6.98
5,262856,Xaver Schlager,24, M(C),174,76,30(2),30,2,2640,2,4,7,0,1.5,76.8,1.2,0,6.97
6,346498,Pavao Pervan,34, GK,194,88,2,2,0,180,0,0,0,0,0.0,67.7,0.0,0,6.97
7,104899,John Brooks,29, D(C),193,78,31(1),31,1,2774,2,0,5,0,0.6,83.4,3.0,1,6.94
8,119172,Renato Steffen,30, M(CLR),170,65,19(2),19,2,1578,5,4,3,0,1.4,75.4,0.8,1,6.91
9,114855,Paulo Otávio,27," D(L),M(L)",173,68,19(4),19,4,1738,0,2,7,1,0.6,74.5,1.0,1,6.91
10,298792,Josip Brekalo,24," AM(CLR),FW",175,70,22(7),22,7,1825,7,3,1,0,1.6,77.0,0.3,2,6.83
11,130899,Yannick Gerhardt,28," D(L),M(CL)",184,81,21(8),21,8,1934,2,4,3,0,1.1,75.6,1.1,1,6.75
12,73797,Koen Casteels,30, GK,197,78,32,32,0,2880,0,0,0,0,0.0,72.4,0.4,1,6.72
13,70105,Josuha Guilavogui,32," D(C),M(C)",188,77,7(13),7,13,737,0,0,3,0,0.3,84.1,1.1,2,6.6
14,97145,Jérôme Roussillon,29," D(L),M(L)",175,80,14(6),14,6,1231,0,2,0,0,0.6,77.3,0.6,0,6.58
15,145267,Maximilian Philipp,28," AM(CLR),FW",183,79,13(11),13,11,1115,6,2,3,0,1.3,76.0,0.4,1,6.58
16,336048,Marin Pongracic,25, D(C),190,95,7(3),7,3,578,0,0,0,1,0.1,85.0,1.4,0,6.52
17,41881,Admir Mehmedi,31," M(CLR),FW",183,78,8(10),8,10,821,0,2,0,0,0.4,80.4,0.3,0,6.44
18,397260,Tim Siersleben,22, D(C),187,80,0(1),0,1,33,0,0,0,0,1.0,83.3,1.0,0,6.38
19,93671,Felix Klaus,30, AM(CLR),179,79,1(5),1,5,134,0,0,0,0,0.2,84.7,0.7,0,6.25
20,381541,Victor Sá,28, AM(CLR),175,69,3(18),3,18,459,1,1,0,0,0.5,80.5,0.2,0,6.25
21,401131,Bartosz Bialek,20, Forward,191,84,1(18),1,18,257,2,0,1,0,0.5,67.6,0.6,0,6.23
22,104919,Yunus Malli,30," M(CLR),FW",179,72,1,1,0,58,0,0,0,0,0.0,72.7,0.0,0,6.17
23,80388,Daniel Ginczek,31," AM(R),FW",191,85,1(10),1,10,206,0,0,0,0,0.4,61.8,1.2,0,6.11
24,394749,Omar Marmoush,23," AM(L),FW",183,81,0(1),0,1,1,0,0,0,0,0.0,100.0,0.0,0,6.0
25,243276,William,27," D(LR),M(R)",176,67,0(2),0,2,2,0,0,0,0,0.0,0.0,0.5,0,6.0
