,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,29400,Robert Lewandowski,34, FW,185,81,28(1),28,1,2463,41,7,4,0,4.7,77.2,1.7,11,8.07
1,283323,Joshua Kimmich,27," D(CR),DMC,M(R)",177,75,25(2),25,2,2197,4,10,4,0,1.4,88.3,0.7,1,7.57
2,37099,Thomas Müller,33," M(CLR),FW",185,76,31(1),31,1,2683,11,18,0,0,1.6,75.0,1.6,3,7.51
3,115519,Leon Goretzka,27, M(CR),189,82,18(6),18,6,1707,5,5,2,0,1.8,87.7,1.3,3,7.2
4,119501,Serge Gnabry,27," AM(CLR),FW",176,77,20(7),20,7,1654,10,2,4,0,2.2,83.5,0.3,1,7.18
5,125883,Kingsley Coman,26," M(LR),FW",180,76,23(6),23,6,1767,5,10,1,0,1.8,84.9,0.4,1,7.11
6,320040,Alphonso Davies,21," D(L),M(LR)",183,75,22(1),22,1,1769,1,2,2,1,0.2,89.6,0.5,2,7.04
7,139186,Lucas Hernández,26, D(CL),184,79,18(5),18,5,1600,0,2,4,0,0.2,85.1,1.7,1,6.98
8,129983,Niklas Süle,27, D(CR),195,99,16(4),16,4,1503,1,0,1,0,1.0,90.7,1.3,0,6.97
9,144711,Leroy Sané,26," M(CLR),FW",183,80,18(14),18,14,1807,6,9,2,0,1.8,78.3,0.3,2,6.94
10,413272,Josip Stanisic,22, D(R),186,77,1,1,0,90,0,0,0,0,2.0,91.4,5.0,0,6.93
11,259648,Benjamin Pavard,26," D(CLR),M(R)",186,81,22(2),22,2,1944,0,0,3,0,0.5,87.1,1.6,0,6.89
12,39722,David Alaba,30," D(CL),M(CL)",180,78,30(2),30,2,2676,2,3,4,0,0.7,85.6,0.6,0,6.79
13,395252,Jamal Musiala,19, M(CL),180,68,7(19),7,19,871,6,1,0,0,1.0,83.8,0.3,3,6.74
14,23589,Jérôme Boateng,34, D(CR),192,90,29,29,0,2379,1,1,6,0,0.3,88.4,1.4,0,6.74
15,13754,Manuel Neuer,36, GK,193,93,33,33,0,2970,0,0,1,0,0.0,84.2,0.1,1,6.61
16,104747,Bouna Sarr,30," D(R),M(CLR)",177,69,5(3),5,3,450,0,1,1,0,0.4,90.1,1.0,0,6.61
17,29809,Eric Choupo-Moting,33," M(CLR),FW",191,90,8(14),8,14,812,3,0,2,0,0.9,79.4,0.6,0,6.48
18,134894,Corentin Tolisso,28," D(R),M(CR)",181,81,7(9),7,9,778,1,0,1,1,0.8,87.2,0.9,0,6.48
19,395401,Chris Richards,22, D(C),188,87,1(2),1,2,88,0,1,0,0,0.0,90.8,0.3,0,6.47
20,68889,Douglas Costa,32, M(CLR),172,70,3(8),3,8,316,1,1,0,0,0.4,78.1,0.1,0,6.41
21,14091,Javi Martínez,34," D(C),M(C)",192,86,4(15),4,15,457,0,0,0,0,0.1,89.6,1.1,0,6.37
22,260770,Alexander Nübel,25, GK,193,86,1,1,0,90,0,0,0,0,0.0,94.1,1.0,0,6.32
23,408824,Tiago Dantas,21, DMC,170,58,1(1),1,1,69,0,0,0,0,0.0,77.4,0.0,0,6.3
24,412841,Christopher Scott,20, Midfielder,174,71,0(2),0,2,32,0,0,0,0,0.5,77.8,0.0,0,6.19
25,382492,Tanguy Nianzou,20, D(C),187,83,0(6),0,6,116,0,0,1,1,0.0,85.7,1.2,0,6.13
26,383956,Joshua Zirkzee,21, FW,193,84,1(2),1,2,92,0,0,0,0,1.3,77.8,1.0,0,6.1
27,323148,Marc Roca,25, DMC,184,77,2(4),2,4,175,0,0,1,0,0.5,88.7,0.2,0,6.09
28,344198,Michaël Cuisance,23, AM(C),181,74,0(1),0,1,18,0,0,0,0,0.0,90.0,0.0,0,6.09
