,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,27,71852,Sebastian Jung,32.0, D(R),179.0,72.0,30,30.0,0,2692.0,7.0,1.4,43.6,79.2,1.1,2.4,0.0,6.84
1,28,14166,Stefan Aigner,35.0," AM(CLR),FW",183.0,73.0,24(4),24.0,4,2168.0,6.0,1.3,22.4,75.6,0.5,0.6,0.1,6.95
2,29,69477,Václav Kadlec,30.0," AM(R),FW",181.0,77.0,14(7),14.0,7,1355.0,3.0,0.5,12.3,76.7,0.2,0.3,0.0,6.76
3,30,5486,Alexander Meier,39.0," M(C),FW",196.0,96.0,18(4),18.0,4,1654.0,2.0,1.0,25.6,75.7,0.0,1.5,0.0,7.2
4,31,31839,Johannes Flum,34.0," D(C),M(C)",190.0,82.0,23(3),23.0,3,1960.0,2.0,0.7,41.5,80.2,0.2,3.8,0.0,6.85
5,32,74603,Joselu,32.0, FW,192.0,80.0,18(6),18.0,6,1672.0,2.0,0.5,23.3,72.1,0.0,1.0,0.0,7.16
6,33,13753,Marco Russ,37.0," D(C),DMC",190.0,88.0,28(1),28.0,1,2500.0,2.0,0.4,43.5,78.7,0.1,3.4,0.0,7.25
7,34,9719,Tranquillo Barnetta,37.0, M(CLR),178.0,70.0,20(2),20.0,2,1653.0,2.0,1.9,31.7,74.0,2.3,2.2,0.0,6.99
8,35,5630,Alexander Madlung,40.0, D(C),196.0,95.0,14(2),14.0,2,1264.0,1.0,0.3,34.3,80.3,0.0,7.1,0.0,7.09
9,36,43395,Anderson,34.0, D(C),189.0,86.0,15,15.0,0,1293.0,1.0,0.1,57.3,85.9,0.0,9.5,0.0,6.92
10,37,67925,Bastian Oczipka,33.0," D(CL),M(L)",185.0,85.0,15(5),15.0,5,1395.0,1.0,1.1,35.6,80.8,1.4,1.3,0.0,6.94
11,38,33134,Carlos Zambrano,33.0, D(C),185.0,77.0,30,30.0,0,2621.0,0.0,0.1,45.9,85.7,0.0,4.6,0.0,6.92
12,39,20151,Constant Djakpa,35.0, D(L),177.0,74.0,19(3),19.0,3,1694.0,0.0,1.1,35.8,62.3,1.2,2.8,0.0,7.07
13,40,80426,Felix Wiedwald,32.0, GK,190.0,82.0,0(1),0.0,1,16.0,0.0,0.0,5.0,40.0,0.0,2.0,0.0,5.7
14,41,13746,Jan Rosenthal,36.0," M(C),FW",186.0,76.0,7(11),7.0,11,865.0,0.0,0.6,20.0,74.7,0.1,0.9,0.1,6.42
15,42,66424,Kevin Trapp,32.0, GK,189.0,88.0,34,34.0,0,3047.0,0.0,0.0,33.0,65.5,0.0,10.9,0.0,6.8
16,43,116466,Marc Stendera,26.0, M(C),173.0,72.0,1(4),1.0,4,76.0,0.0,0.0,8.2,65.9,0.0,0.0,0.0,6.04
17,44,116465,Marc Oliver Kempf,27.0, D(C),186.0,87.0,1(2),1.0,2,167.0,0.0,0.0,38.0,86.0,0.0,3.0,0.0,6.64
18,45,14164,Martin Lanig,38.0, M(C),190.0,79.0,12(3),12.0,3,1051.0,0.0,0.5,26.3,77.2,0.1,1.5,0.0,7.08
19,46,102352,Marvin Bakalorz,33.0, M(C),180.0,78.0,0(3),0.0,3,34.0,0.0,0.3,4.3,84.6,0.0,0.7,0.3,6.33
20,47,14182,Pirmin Schwegler,35.0, M(C),178.0,74.0,14(3),14.0,3,1161.0,0.0,0.8,40.9,80.9,0.5,4.0,0.0,6.9
21,48,65581,Sebastian Rode,31.0," D(R),M(C)",180.0,71.0,17,17.0,0,1439.0,0.0,1.1,51.1,84.3,0.1,5.6,0.2,6.89
22,49,13751,Srdjan Lakic,39.0, FW,186.0,84.0,0(8),0.0,8,93.0,0.0,0.0,3.6,72.4,0.0,0.0,0.1,6.16
23,50,26474,Stefano Celozzi,33.0," D(R),DMC,M(R)",171.0,74.0,2(9),2.0,9,289.0,0.0,0.5,11.2,78.0,0.5,0.7,0.0,6.2
24,51,15539,Stephan Schröck,36.0," D(R),M(R)",170.0,71.0,7(5),7.0,5,686.0,0.0,0.3,19.6,71.1,0.2,0.5,0.3,6.92
25,52,38820,Takashi Inui,34.0, AM(CLR),169.0,63.0,10(4),10.0,4,841.0,0.0,0.9,21.1,78.3,0.5,1.3,0.0,6.46
26,53,8124,Tobias Weis,37.0, M(C),170.0,67.0,1(3),1.0,3,99.0,0.0,0.0,7.3,62.1,0.3,0.0,0.0,5.86
