,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,15539,Stephan Schröck,36," D(R),M(R)",170,71,7(5),7,5,686,0,0,0.3,0.3,2.4,1.7,0.2,1.5,0.8,6.92
1,1,20151,Constant Djakpa,35, D(L),177,74,19(3),19,3,1694,0,0,1.0,1.1,2.0,1.6,0.0,1.0,0.7,7.07
2,2,67925,Bastian Oczipka,33," D(CL),M(L)",185,85,15(5),15,5,1395,0,1,0.4,1.1,1.9,1.0,0.0,0.9,0.6,6.94
3,3,14164,Martin Lanig,38, M(C),190,79,12(3),12,3,1051,1,0,1.1,0.5,1.8,2.5,0.1,0.7,0.5,7.08
4,4,9719,Tranquillo Barnetta,37, M(CLR),178,70,20(2),20,2,1653,1,2,1.2,1.9,1.7,1.5,0.3,1.3,1.4,6.99
5,5,38820,Takashi Inui,34, AM(CLR),169,63,10(4),10,4,841,0,0,1.1,0.9,1.6,0.6,0.5,1.4,0.9,6.46
6,6,31839,Johannes Flum,34," D(C),M(C)",190,82,23(3),23,3,1960,3,2,0.8,0.7,1.5,1.3,0.2,0.9,0.5,6.85
7,7,69477,Václav Kadlec,30," AM(R),FW",181,77,14(7),14,7,1355,5,3,1.7,0.5,1.2,0.9,0.6,1.5,1.2,6.76
8,8,14166,Stefan Aigner,35," AM(CLR),FW",183,73,24(4),24,4,2168,4,6,1.6,1.3,1.2,1.6,1.0,1.4,1.6,6.95
9,9,14182,Pirmin Schwegler,35, M(C),178,74,14(3),14,3,1161,0,0,0.8,0.8,1.2,1.9,0.0,0.5,0.1,6.9
10,10,65581,Sebastian Rode,31," D(R),M(C)",180,71,17,17,0,1439,0,0,0.9,1.1,1.2,1.8,0.2,1.1,0.9,6.89
11,11,13746,Jan Rosenthal,36," M(C),FW",186,76,7(11),7,11,865,2,0,0.7,0.6,1.1,0.7,0.1,1.8,0.8,6.42
12,12,13753,Marco Russ,37," D(C),DMC",190,88,28(1),28,1,2500,3,2,0.9,0.4,1.1,0.8,0.0,0.9,0.7,7.25
13,13,33134,Carlos Zambrano,33, D(C),185,77,30,30,0,2621,0,0,0.1,0.1,1.0,2.7,0.0,0.5,0.4,6.92
14,14,71852,Sebastian Jung,32, D(R),179,72,30,30,0,2692,0,7,0.5,1.4,1.0,0.6,0.1,0.6,0.3,6.84
15,15,74603,Joselu,32, FW,192,80,18(6),18,6,1672,9,2,2.8,0.5,1.0,2.0,0.5,1.3,1.3,7.16
16,16,5486,Alexander Meier,39," M(C),FW",196,96,18(4),18,4,1654,8,2,2.5,1.0,0.8,0.6,0.2,0.9,1.0,7.2
17,17,13751,Srdjan Lakic,39, FW,186,84,0(8),0,8,93,0,0,0.6,0.0,0.8,0.3,0.1,0.1,0.6,6.16
18,18,116465,Marc Oliver Kempf,27, D(C),186,87,1(2),1,2,167,0,0,0.0,0.0,0.7,0.3,0.0,0.3,0.3,6.64
19,19,43395,Anderson,34, D(C),189,86,15,15,0,1293,0,1,0.3,0.1,0.5,0.6,0.1,0.3,0.1,6.92
20,20,26474,Stefano Celozzi,33," D(R),DMC,M(R)",171,74,2(9),2,9,289,0,0,0.2,0.5,0.5,0.1,0.0,0.2,0.2,6.2
21,21,116466,Marc Stendera,26, M(C),173,72,1(4),1,4,76,0,0,0.4,0.0,0.4,0.2,0.0,0.6,0.0,6.04
22,22,5630,Alexander Madlung,40, D(C),196,95,14(2),14,2,1264,2,1,0.8,0.3,0.1,0.2,0.1,0.0,0.1,7.09
23,23,66424,Kevin Trapp,32, GK,189,88,34,34,0,3047,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,6.8
24,24,80426,Felix Wiedwald,32, GK,190,82,0(1),0,1,16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7
25,25,102352,Marvin Bakalorz,33, M(C),180,78,0(3),0,3,34,0,0,1.0,0.3,0.0,0.3,0.0,0.3,0.3,6.33
26,26,8124,Tobias Weis,37, M(C),170,67,1(3),1,3,99,0,0,0.3,0.0,0.0,0.5,0.0,1.5,0.5,5.86
