,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,93721,Valentin Eysseric,30," AM(CLR),FW",181,73,21(3),21,3,1897,5,1,1.8,1.1,1.2,1.7,0.3,2.8,1.8,6.76
1,1,26542,Xavier Pentecote,36, AM(LR),183,82,0(2),0,2,53,0,0,1.0,1.0,1.0,0.5,0.0,1.5,1.0,6.55
2,2,11896,Didier Digard,36, M(C),183,76,35,35,0,3013,2,3,1.0,0.6,0.8,1.3,0.0,1.1,1.3,7.07
3,3,22116,Luigi Bruins,35, AM(CL),180,75,5(5),5,5,457,1,0,0.5,0.7,0.8,0.6,0.0,0.5,0.8,6.52
4,4,42248,Jérémy Pied,33," D(LR),M(CLR)",174,69,18(8),18,8,1552,0,3,0.9,1.2,0.7,1.5,0.0,2.2,1.3,6.65
5,5,90106,Éric Bauthéac,35, AM(LR),168,65,33(2),33,2,2909,9,7,1.6,1.4,0.7,1.9,0.3,2.1,1.6,7.06
6,6,14838,Darío Cvitanich,38," AM(C),FW",174,72,29,29,0,2350,19,2,2.0,0.7,0.6,1.5,1.8,3.1,2.1,6.8
7,7,44417,Timothée Kolodziejczak,31," D(CL),M(L)",185,75,36,36,0,3240,0,4,0.4,0.6,0.6,0.4,0.1,0.8,0.6,7.1
8,8,110269,Diacko Fofana,28, Defender,175,73,0(4),0,4,102,0,0,0.5,0.8,0.5,0.3,0.3,0.0,0.8,6.26
9,9,95424,Grégoire Puel,30," D(R),M(R)",180,71,8,8,0,680,0,1,0.1,0.5,0.5,1.6,0.1,1.0,0.9,6.58
10,10,29587,Mahamane Traoré,34, M(C),176,66,22(1),22,1,1936,3,0,1.4,0.4,0.4,1.4,0.0,1.8,1.3,6.89
11,11,109812,Alexy Bosetti,29," AM(R),FW",170,66,4(23),4,23,657,0,2,0.5,0.3,0.3,0.5,0.3,0.6,0.5,6.2
12,12,119822,Neal Maupay,26," AM(C),FW",173,69,3(12),3,12,447,3,0,0.7,0.2,0.3,1.0,0.4,1.0,0.9,6.3
13,13,43684,Kevin Diaz,34, Midfielder,174,65,5(3),5,3,412,0,0,1.3,0.5,0.3,1.1,0.0,0.8,0.6,6.55
14,14,98100,Lloyd Palun,33, D(R),184,73,10(2),10,2,940,0,0,0.1,0.6,0.3,0.6,0.0,0.8,0.8,6.75
15,15,34918,Joris Delle,32, GK,190,85,11(2),11,2,1029,0,0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,6.89
16,16,1841,Camel Meriem,42, M(C),174,70,14(10),14,10,1172,3,2,0.8,0.8,0.2,1.0,0.0,1.3,0.7,6.44
17,17,34070,Kevin Anin,36, M(C),189,80,10(3),10,3,911,1,0,0.7,0.4,0.2,0.5,0.1,0.8,0.7,6.66
18,18,34218,Romain Genevois,34, D(CR),182,79,22(3),22,3,1986,0,2,0.0,0.4,0.1,0.2,0.0,0.5,0.4,6.57
19,19,23133,Fabrice Abriel,43, M(C),176,69,18(9),18,9,1693,1,1,0.4,0.4,0.1,1.0,0.1,0.8,1.1,6.54
20,20,101904,Stéphane Bahoken,30, FW,185,78,3(7),3,7,270,2,0,0.5,0.3,0.1,0.3,0.1,0.3,0.9,6.28
21,21,18117,Renato Civelli,38, D(C),195,92,34,34,0,3060,5,2,1.0,0.3,0.1,0.9,0.1,0.1,0.5,7.05
22,22,67929,Kevin Gomis,33, D(C),187,85,12(1),12,1,1046,0,0,0.2,0.0,0.1,0.8,0.0,0.2,0.2,6.67
23,23,90116,Guié Guié,36, FW,180,70,1(2),1,2,90,0,0,0.3,0.0,0.0,0.0,0.3,0.0,1.0,6.01
24,24,120523,Albert Rafetraniaina,26, DMC,176,66,0(1),0,1,9,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.17
25,25,36745,David Ospina,34, GK,183,80,26,26,0,2298,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,6.72
26,26,36641,Fabián Monzón,35," D(L),M(L)",179,75,1,1,0,82,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.07
27,27,115835,Fabien Dao Castellana,29, Midfielder,169,62,0(2),0,2,14,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,6.0
28,28,22337,Franck Dja Djédjé,36, M(L),176,72,3,3,0,201,0,0,0.7,1.3,0.0,0.7,0.0,0.3,0.7,6.59
29,29,34966,Kafoumba Coulibaly,36," D(CR),M(CR)",179,74,1,1,0,43,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.85
30,30,125847,Lucas Rougeaux,28, D(CR),185,87,0(1),0,1,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25
31,31,69171,Nemanja Pejcinovic,34, D(CR),185,81,27(1),27,1,2457,3,1,0.6,0.1,0.0,1.3,0.0,0.2,0.4,7.1
