,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,33,10194,Hatem Ben Arfa,35.0," M(CR),FW",178.0,65.0,33(1),33.0,1,2844.0,6.0,1.0,36.7,79.7,1.0,1.9,0.2,7.58
1,34,136262,Jean Michaël Seri,31.0, M(C),168.0,69.0,35(3),35.0,3,3113.0,6.0,1.3,71.3,88.9,0.6,4.5,0.2,7.01
2,35,93917,Valère Germain,32.0," AM(CLR),FW",181.0,75.0,36(2),36.0,2,3122.0,6.0,1.2,28.1,76.4,0.1,0.7,0.1,7.07
3,36,238921,Vincent Koziello,26.0, M(C),168.0,58.0,32(3),32.0,3,2717.0,6.0,0.9,48.6,91.3,0.2,0.7,0.1,6.97
4,37,108585,Alassane Plea,29.0," AM(CLR),FW",181.0,79.0,17(2),17.0,2,1414.0,4.0,0.6,25.9,77.5,0.2,0.3,0.2,7.08
5,38,120763,Ricardo Pereira,28.0," D(LR),M(R)",175.0,70.0,26,26.0,0,2281.0,4.0,0.6,50.5,84.4,0.6,2.4,0.0,7.48
6,39,42248,Jérémy Pied,33.0," D(LR),M(CLR)",174.0,69.0,33,33.0,0,2961.0,3.0,1.0,51.8,79.7,0.7,1.4,0.0,7.3
7,40,29587,Mahamane Traoré,34.0, M(C),176.0,66.0,4(8),4.0,8,401.0,2.0,0.4,21.8,88.1,0.0,0.6,0.1,6.65
8,41,90278,Nampalys Mendy,30.0, M(C),167.0,73.0,38,38.0,0,3392.0,2.0,0.2,77.6,92.1,0.0,4.1,0.0,6.84
9,42,140494,Wallyson Mallmann,28.0, AM(C),183.0,77.0,8(6),8.0,6,698.0,2.0,0.6,33.1,83.8,0.1,1.8,0.0,6.54
10,43,6476,Mathieu Bodmer,39.0," D(C),M(C)",190.0,90.0,16(3),16.0,3,1357.0,1.0,0.6,48.0,83.8,0.0,2.3,0.0,6.81
11,44,236520,Mickaël Le Bihan,32.0, FW,185.0,85.0,1(2),1.0,2,137.0,1.0,1.0,17.3,75.0,0.0,0.0,0.0,6.91
12,45,120523,Albert Rafetraniaina,26.0, DMC,176.0,66.0,0(1),0.0,1,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.77
13,46,288901,Alexandre Mendy,28.0, FW,184.0,94.0,3(15),3.0,15,374.0,0.0,0.4,7.1,71.9,0.0,0.2,0.0,6.15
14,47,302321,Antony Ranieri,25.0, Forward,165.0,64.0,0(2),0.0,2,4.0,0.0,0.0,0.5,100.0,0.0,0.0,0.0,5.94
15,48,302449,Dorian Caddy,27.0, Forward,186.0,87.0,3(4),3.0,4,237.0,0.0,0.1,9.7,75.0,0.0,0.4,0.0,6.28
16,49,137837,Franck Honorat,26.0," M(LR),FW",180.0,70.0,0(6),0.0,6,112.0,0.0,0.2,7.5,64.4,0.0,0.0,0.0,6.08
17,50,123253,Gautier Lloris,27.0, Defender,192.0,87.0,1(1),1.0,1,65.0,0.0,0.0,23.5,93.6,0.0,1.0,0.0,6.29
18,51,274912,Jonathan Correia,28.0, Midfielder,175.0,65.0,2(2),2.0,2,234.0,0.0,0.3,33.5,91.8,0.0,0.3,0.0,6.55
19,52,67929,Kevin Gomis,33.0, D(C),187.0,85.0,1(2),1.0,2,175.0,0.0,0.7,38.0,91.2,0.0,2.7,0.0,6.48
20,53,236523,Maxime Le Marchand,32.0, D(CL),185.0,78.0,26,26.0,0,2197.0,0.0,0.1,54.8,85.6,0.0,3.8,0.0,6.99
21,54,116615,Mouez Hassen,27.0, GK,186.0,70.0,12(2),12.0,2,1075.0,0.0,0.0,19.1,47.4,0.0,3.3,0.0,6.77
22,55,74328,Niklas Hult,32.0," D(L),M(CL)",173.0,63.0,9(6),9.0,6,797.0,0.0,0.5,23.9,79.3,0.5,0.7,0.0,6.56
23,56,260809,Olivier Boscagli,24.0," D(CL),DMC",181.0,68.0,8(3),8.0,3,773.0,0.0,0.2,43.7,84.0,0.3,2.7,0.0,6.84
24,57,27756,Paul Baysse,34.0, D(CR),187.0,85.0,29(1),29.0,1,2584.0,0.0,0.0,55.7,88.3,0.0,2.8,0.0,7.21
25,58,146712,Paulin Puel,25.0, Midfielder,179.0,73.0,2(9),2.0,9,186.0,0.0,0.1,5.6,69.4,0.0,0.4,0.0,6.01
26,59,125326,Rémi Walter,27.0, M(CR),174.0,73.0,6(6),6.0,6,550.0,0.0,0.5,34.1,89.5,0.3,0.8,0.0,6.56
27,60,34218,Romain Genevois,34.0, D(CR),182.0,79.0,10(4),10.0,4,1007.0,0.0,0.2,47.4,87.5,0.1,2.8,0.0,6.97
28,61,137021,Saïd Benrahma,27.0, AM(CLR),172.0,67.0,0(9),0.0,9,126.0,0.0,0.2,5.3,72.9,0.1,0.0,0.0,6.36
29,62,23619,Simon Pouplin,37.0, GK,187.0,78.0,1,1.0,0,37.0,0.0,0.0,10.0,30.0,0.0,3.0,0.0,6.69
30,63,127135,Dada,29.0, Midfielder,168.0,64.0,1(3),1.0,3,74.0,0.0,0.3,13.5,83.3,0.0,0.5,0.0,6.13
31,64,93721,Valentin Eysseric,30.0," AM(CLR),FW",181.0,73.0,0(1),0.0,1,18.0,0.0,0.0,13.0,92.3,1.0,2.0,0.0,5.98
32,65,140569,Yoan Cardinale,28.0, GK,181.0,84.0,25(1),25.0,1,2306.0,0.0,0.0,21.6,60.6,0.0,4.5,0.0,6.65
