,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,26,115479,Wout Weghorst,30.0, FW,197.0,84.0,33(1),33.0,1,2950.0,8.0,1.3,23.1,66.1,0.0,0.6,0.1,7.31
1,27,108919,Maximilian Arnold,28.0, M(CR),184.0,74.0,30,30.0,0,2591.0,6.0,1.6,50.1,84.4,1.4,5.2,0.1,7.3
2,28,356183,Ridle Baku,24.0," D(R),M(CR)",176.0,72.0,31(1),31.0,1,2688.0,6.0,1.4,36.7,76.0,0.6,1.4,0.0,6.98
3,29,119172,Renato Steffen,30.0, M(CLR),170.0,65.0,19(2),19.0,2,1578.0,4.0,1.0,27.5,75.4,0.4,1.3,0.0,6.91
4,30,262856,Xaver Schlager,25.0, M(C),174.0,76.0,30(2),30.0,2,2640.0,4.0,0.8,38.9,76.8,0.0,1.9,0.1,6.97
5,31,130899,Yannick Gerhardt,28.0," D(L),M(CL)",184.0,81.0,21(8),21.0,8,1934.0,4.0,0.9,23.3,75.6,0.3,0.7,0.0,6.75
6,32,298792,Josip Brekalo,24.0," AM(CLR),FW",175.0,70.0,22(7),22.0,7,1825.0,3.0,1.3,27.4,77.0,0.7,1.1,0.0,6.83
7,33,41881,Admir Mehmedi,31.0," M(CLR),FW",183.0,78.0,8(10),8.0,10,821.0,2.0,1.0,23.0,80.4,0.2,0.8,0.1,6.44
8,34,97145,Jérôme Roussillon,29.0," D(L),M(L)",175.0,80.0,14(6),14.0,6,1231.0,2.0,0.8,25.5,77.3,0.4,1.4,0.0,6.58
9,35,145267,Maximilian Philipp,28.0," AM(CLR),FW",183.0,79.0,13(11),13.0,11,1115.0,2.0,0.5,14.9,76.0,0.1,0.4,0.0,6.58
10,36,114855,Paulo Otávio,27.0," D(L),M(L)",173.0,68.0,19(4),19.0,4,1738.0,2.0,0.6,32.4,74.5,0.8,1.3,0.0,6.91
11,37,381541,Victor Sá,28.0, AM(CLR),175.0,69.0,3(18),3.0,18,459.0,1.0,0.5,8.3,80.5,0.0,0.1,0.0,6.25
12,38,115230,Kevin Mbabu,27.0," D(R),M(R)",184.0,83.0,19(3),19.0,3,1646.0,1.0,0.6,36.0,69.2,0.7,1.6,0.0,7.0
13,39,401130,Maxence Lacroix,22.0, D(C),190.0,88.0,29(1),29.0,1,2591.0,1.0,0.1,58.9,83.4,0.0,4.3,0.0,7.03
14,40,401131,Bartosz Bialek,20.0, FW,191.0,84.0,1(18),1.0,18,257.0,0.0,0.2,3.9,67.6,0.0,0.4,0.0,6.23
15,41,80388,Daniel Ginczek,31.0," AM(R),FW",191.0,85.0,1(10),1.0,10,206.0,0.0,0.3,6.2,61.8,0.0,0.0,0.0,6.11
16,42,93671,Felix Klaus,30.0, AM(CLR),179.0,79.0,1(5),1.0,5,134.0,0.0,0.0,9.8,84.7,0.2,0.7,0.0,6.25
17,43,104899,John Brooks,29.0, D(C),193.0,78.0,31(1),31.0,1,2774.0,0.0,0.2,60.3,83.4,0.0,4.3,0.0,6.94
18,44,70105,Josuha Guilavogui,32.0," D(C),M(C)",188.0,77.0,7(13),7.0,13,737.0,0.0,0.3,21.5,84.1,0.0,1.4,0.0,6.6
19,45,73797,Koen Casteels,30.0, GK,197.0,78.0,32,32.0,0,2880.0,0.0,0.0,33.9,72.4,0.0,7.7,0.0,6.72
20,46,336048,Marin Pongracic,25.0, D(C),190.0,95.0,7(3),7.0,3,578.0,0.0,0.0,32.0,85.0,0.0,3.1,0.0,6.52
21,47,394749,Omar Marmoush,23.0," AM(L),FW",183.0,81.0,0(1),0.0,1,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,6.0
22,48,346498,Pavao Pervan,34.0, GK,194.0,88.0,2,2.0,0,180.0,0.0,0.0,32.5,67.7,0.0,6.0,0.0,6.97
23,49,397260,Tim Siersleben,22.0, D(C),187.0,80.0,0(1),0.0,1,33.0,0.0,0.0,24.0,83.3,0.0,2.0,0.0,6.38
24,50,243276,William,27.0," D(LR),M(R)",176.0,67.0,0(2),0.0,2,2.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,6.0
25,51,104919,Yunus Malli,30.0," M(CLR),FW",179.0,72.0,1,1.0,0,58.0,0.0,2.0,11.0,72.7,0.0,0.0,0.0,6.17
