,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,28,4522,Santi Cazorla,37.0, M(CLR),168.0,65.0,34(3),34.0,3,2901.0,10.0,2.0,52.3,84.2,0.6,5.1,0.6,7.39
1,29,19112,Borja Valero,37.0, M(CL),175.0,73.0,34(1),34.0,1,2960.0,8.0,1.9,58.4,86.4,1.1,4.6,0.5,7.1
2,30,13802,Giuseppe Rossi,35.0, FW,173.0,72.0,35(1),35.0,1,3030.0,5.0,1.8,27.1,79.0,0.3,1.6,0.4,7.44
3,31,9866,Nilmar,38.0, FW,180.0,73.0,27(4),27.0,4,2369.0,3.0,1.0,15.4,71.7,0.1,0.4,0.2,7.05
4,32,4674,Ángel,41.0, D(R),180.0,71.0,18,18.0,0,1592.0,2.0,1.0,49.5,80.8,0.4,2.2,0.2,7.29
5,33,14231,Bruno Soriano,38.0, M(C),184.0,73.0,36(1),36.0,1,3274.0,2.0,0.6,69.8,89.5,0.1,4.1,0.1,7.45
6,34,79913,Catalá,37.0, D(CL),175.0,72.0,10(6),10.0,6,948.0,2.0,0.3,25.5,79.2,0.1,1.2,0.0,6.67
7,35,14546,Marco Ruben,35.0, FW,179.0,72.0,12(18),12.0,18,1269.0,2.0,0.4,9.7,70.1,0.1,0.1,0.0,6.44
8,36,79909,Mario Gaspar,31.0," D(CR),M(R)",182.0,74.0,20(2),20.0,2,1833.0,2.0,0.5,37.9,78.2,0.2,0.4,0.0,6.99
9,37,9460,Cani,41.0, M(CLR),180.0,75.0,25(9),25.0,9,2103.0,2.0,1.3,35.9,78.2,0.2,1.8,0.4,7.01
10,38,28416,Jefferson Montero,33.0, M(L),173.0,70.0,0(9),0.0,9,132.0,1.0,0.6,5.7,74.5,0.1,0.1,0.1,6.36
11,39,1676,Joan Capdevila,44.0, D(L),182.0,78.0,30(1),30.0,1,2635.0,1.0,0.9,39.5,81.9,0.5,1.3,0.2,6.91
12,40,9580,Marcos Senna,46.0," D(C),DMC,M(R)",177.0,76.0,15(5),15.0,5,1220.0,1.0,0.5,45.9,86.8,0.1,3.5,0.1,6.88
13,41,61014,Mateo Musacchio,32.0, D(C),180.0,73.0,27(4),27.0,4,2435.0,1.0,0.1,27.6,84.8,0.0,1.9,0.0,6.87
14,42,2339,Carlos Marchena,43.0, D(C),183.0,79.0,27(1),27.0,1,2350.0,0.0,0.3,36.9,85.9,0.0,2.4,0.2,7.08
15,43,79911,Carlos Tomás,34.0, Defender,183.0,78.0,1,1.0,0,90.0,0.0,0.0,71.0,90.1,0.0,3.0,0.0,6.41
16,44,119500,Cicinho,42.0, D(R),172.0,68.0,0(6),0.0,6,81.0,0.0,0.8,9.0,81.5,0.5,0.5,0.0,6.28
17,45,73396,Cristóbal Márquez,38.0, Midfielder,180.0,77.0,1(1),1.0,1,66.0,0.0,0.5,20.0,70.0,0.0,0.0,0.0,6.07
18,46,10445,Diego López,40.0, GK,196.0,89.0,38,38.0,0,3420.0,0.0,0.1,24.5,61.2,0.0,6.0,0.0,6.8
19,47,72286,Kiko Olivas,34.0, D(C),184.0,76.0,2(2),2.0,2,181.0,0.0,0.0,16.8,92.5,0.0,0.8,0.0,6.06
20,48,9578,Gonzalo Rodríguez,38.0, D(C),182.0,79.0,20(3),20.0,3,1805.0,0.0,0.0,27.7,77.7,0.0,2.3,0.0,6.99
21,49,23238,Natxo Insa,36.0, DMC,178.0,66.0,0(1),0.0,1,9.0,0.0,0.0,7.0,85.7,0.0,1.0,0.0,6.18
22,50,73081,Matilla,34.0, DMC,176.0,72.0,3(8),3.0,8,358.0,0.0,0.2,24.2,91.7,0.0,1.6,0.1,6.33
23,51,75468,Joan Oriol,35.0, D(L),175.0,69.0,1(5),1.0,5,134.0,0.0,0.0,10.2,78.7,0.0,0.0,0.0,6.19
24,52,26298,Jozy Altidore,32.0, FW,185.0,79.0,0(3),0.0,3,32.0,0.0,0.0,1.7,80.0,0.0,0.0,0.3,6.16
25,53,79914,Marcos Gullón,33.0," D(C),M(C)",185.0,79.0,1,1.0,0,71.0,0.0,0.0,52.0,96.2,0.0,4.0,0.0,6.32
26,54,44425,Mubarak Wakaso,32.0, M(CLR),171.0,66.0,1(10),1.0,10,283.0,0.0,0.4,12.8,81.6,0.5,1.3,0.0,6.32
27,55,14144,Nicki Bille Nielsen,34.0, FW,181.0,75.0,0(1),0.0,1,14.0,0.0,0.0,3.0,100.0,0.0,0.0,0.0,6.28
