,Unnamed: 0,player_number,name,age,position,tall,weight,games,mins,goals,assists,yel,red,spg,ps,aw,motm,rating,start_games,sub_games
0,0,115472,Yannick Carrasco,29," M(CLR),FW",185,73,28(6),2594,6,6,5,0,1.5,80.6,0.3,5,7.08,28,6
1,1,362431,João Félix,22," AM(CL),FW",181,70,13(11),1267,8,4,1,1,1.6,75,0.8,2,6.91,13,11
2,2,135914,José Giménez,27, D(CR),185,80,24,2047,1,1,8,0,0.8,88.6,1.8,0,6.82,24,0
3,3,91978,Geoffrey Kondogbia,29," D(C),DMC",188,80,21(7),1885,1,2,9,2,0.5,86,1.4,0,6.81,21,7
4,4,112161,Saúl Ñíguez,27," D(CL),M(CLR)",184,76,2(1),200,0,1,0,0,1.3,86.8,2,0,6.81,2,1
5,5,132962,Thomas Lemar,26, AM(CLR),171,63,17(7),1450,4,5,2,0,1.2,85.3,0.5,2,6.8,17,7
6,6,125547,Rodrigo de Paul,28," AM(CLR),FW",180,70,24(12),2155,3,1,7,0,0.7,81.9,0.5,5,6.8,24,12
7,7,80241,Antoine Griezmann,31," AM(CLR),FW",176,73,21(5),1709,3,4,3,0,1.7,80.7,1.2,0,6.8,21,5
8,8,77564,Stefan Savic,31, D(C),187,81,28,2440,0,0,12,0,0.5,82.3,2.6,0,6.8,28,0
9,9,361812,Reinildo,28," D(CL),M(L)",180,73,15(2),1300,0,0,5,0,0.1,83.6,1.4,0,6.77,15,2
10,10,254582,Marcos Llorente,27," D(R),M(CR),FW",184,74,29,2456,0,2,5,0,0.6,84.8,0.6,0,6.67,29,0
11,11,127604,Ángel Correa,27," AM(CLR),FW",171,70,21(15),1860,12,5,3,1,1.4,76.5,0.2,2,6.67,21,15
12,12,80764,Koke,30, M(CLR),176,77,29(2),2512,1,2,6,0,0.4,86.5,0.4,1,6.66,29,2
13,13,83078,Kieran Trippier,32," D(LR),M(R)",178,71,12(3),979,0,0,1,0,0.1,78.7,1.9,0,6.57,12,3
14,14,22221,Luis Suárez,35," AM(CLR),FW",182,86,20(15),1837,11,2,7,0,1.5,73.7,0.6,2,6.54,20,15
15,15,344156,Mario Hermoso,27, D(CL),184,75,22(5),1872,2,1,6,1,0.6,87,1.8,1,6.54,22,5
16,16,77059,Sime Vrsaljko,30," D(LR),M(R)",181,76,10(11),910,1,2,4,0,0.2,77.2,1.6,1,6.53,10,11
17,17,362758,Matheus Cunha,23," AM(CL),FW",184,76,8(21),1053,6,4,3,0,1.3,71,0.7,0,6.53,8,21
18,18,102173,Felipe,33, D(C),190,83,15(11),1499,2,1,5,1,0.4,81.8,1.7,0,6.52,15,11
19,19,103476,Héctor Herrera,32, M(C),185,80,8(13),852,0,0,4,0,0.4,84.8,1.1,0,6.49,8,13
20,20,326646,Renan Lodi,24," D(L),M(L)",173,68,13(16),1181,2,2,5,0,0.3,81.6,1,2,6.47,13,16
21,21,76662,Jan Oblak,29, GK,188,87,38,3420,0,0,1,0,0,51.9,0.2,0,6.35,38,0
22,22,427360,Carlos Martín,20, Forward,0,0,0(1),5,0,0,1,0,0,50,1,0,6.3,0,1
23,23,27254,Daniel Wass,33," D(LR),M(CLR)",181,74,0(1),45,0,0,1,0,0,76.5,0,0,6.17,0,1
24,24,89928,Benjamin Lecomte,31, GK,186,78,1,1,0,0,1,0,0,0,0,0,6.0,1,0
25,25,422918,Giuliano Simeone,19, Forward,0,0,0(1),1,0,0,0,0,0,33.3,1,0,6.0,0,1
26,26,422917,Javier Serrano,19, Midfielder,0,0,1(4),67,0,0,1,1,0,78.4,0.8,0,5.97,1,4
