,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,22701,Fredy Guarín,36, M(CR),183,77,25(3),25,3,2210,6,6,2.8,1.6,2.9,1.2,0.2,2.1,1.3,7.56
1,1,93894,Mateo Kovacic,28, M(CL),178,78,26(9),26,9,2463,5,3,1.2,1.8,2.6,1.5,0.0,1.8,0.9,7.15
2,2,121968,Isaac Donkor,27, Defender,180,71,1(1),1,1,114,0,0,0.5,0.0,2.0,2.0,0.0,0.5,0.0,6.49
3,3,17108,Hernanes,37, M(C),180,78,17(9),17,9,1628,5,4,2.5,1.9,1.6,1.3,0.1,1.2,1.4,7.26
4,4,44642,Davide Santon,31, D(LR),187,77,7(2),7,2,715,0,0,0.9,1.2,1.4,1.2,0.0,0.6,0.9,7.25
5,5,64271,Danilo D'Ambrosio,34," D(CLR),M(LR)",180,75,19(4),19,4,1687,0,2,0.6,0.9,1.1,1.0,0.0,0.7,0.7,6.81
6,6,76304,Xherdan Shaqiri,30, M(CLR),169,72,8(7),8,7,746,1,2,1.3,1.9,1.1,0.6,0.1,0.9,1.7,6.69
7,7,28485,Jonathan,36," D(R),M(R)",170,72,2,2,0,174,0,0,0.5,3.0,1.0,1.5,0.0,1.5,1.5,7.01
8,8,87449,Marcelo Brozovic,29, M(CR),181,68,13(2),13,2,1058,1,1,2.0,1.1,0.9,0.7,0.1,1.1,1.1,6.85
9,9,76953,Dodô,30," D(L),M(L)",181,79,16(4),16,4,1377,0,2,0.5,1.0,0.9,1.0,0.2,0.7,0.9,6.84
10,10,37188,Yuto Nagatomo,36," D(LR),M(LR)",170,68,11(3),11,3,892,0,0,0.6,0.7,0.8,0.8,0.4,0.5,0.6,6.6
11,11,20766,Daniel Osvaldo,36," AM(C),FW",182,81,5(7),5,7,573,5,2,1.7,0.8,0.8,0.5,0.8,1.5,1.3,6.7
12,12,27421,Andrea Ranocchia,34, D(C),195,81,32(1),32,1,2850,2,0,0.7,0.1,0.7,0.9,0.0,0.2,0.3,7.15
13,13,14871,Rodrigo Palacio,40," AM(CLR),FW",180,75,30(5),30,5,2636,8,5,1.7,1.8,0.6,1.7,0.9,1.4,1.6,7.0
14,14,6040,Lukas Podolski,37," AM(CLR),FW",182,80,8(9),8,9,831,1,1,1.6,0.9,0.5,0.5,0.1,0.4,0.8,6.52
15,15,248154,Gaston Camara,26, Midfielder,177,69,0(2),0,2,4,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,6.17
16,16,29390,Gary Medel,35," D(C),DMC",171,65,34(1),34,1,2992,0,2,0.7,0.8,0.4,1.0,0.0,0.6,0.3,7.11
17,17,18963,Zdravko Kuzmanovic,35, M(C),186,80,10(4),10,4,859,0,1,1.0,1.4,0.4,1.4,0.1,0.9,0.3,6.77
18,18,84603,Juan Jesus,31, D(CL),185,83,32,32,0,2849,0,0,0.3,0.4,0.4,0.6,0.1,0.3,0.5,7.12
19,19,5070,Hugo Campagnaro,42, D(CR),181,85,8(2),8,2,729,0,0,0.1,0.7,0.4,0.9,0.1,0.5,0.7,6.89
20,20,67432,Joel Obi,31, M(CR),176,71,6(5),6,5,490,1,0,1.0,0.5,0.4,1.3,0.1,0.7,0.8,6.48
21,21,118142,Ibrahima Mbaye,27," D(LR),M(LR)",187,70,0(4),0,4,94,0,0,1.0,0.0,0.3,0.3,0.0,0.0,0.5,6.19
22,22,106964,Mauro Icardi,29, FW,181,75,33(3),33,3,2900,22,6,3.4,0.9,0.3,0.9,0.6,1.0,1.3,7.08
23,23,9685,Nemanja Vidic,40, D(C),189,84,23,23,0,2050,1,0,0.7,0.2,0.2,0.8,0.0,0.0,0.2,7.11
24,24,33886,Yann M'Vila,32, M(C),182,80,3(5),3,5,247,0,0,0.4,0.1,0.1,0.6,0.0,0.0,0.3,6.18
25,25,249865,Assane Gnoukouri,26, M(C),180,77,2(3),2,3,165,0,0,0.0,0.0,0.0,0.2,0.0,0.4,0.0,6.15
26,26,149543,Federico Bonazzoli,25," AM(C),FW",182,79,0(4),0,4,45,0,0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,6.12
27,27,255929,Federico Dimarco,24," D(CL),M(L)",175,75,0(1),0,1,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0
28,28,9973,Felipe,38, D(CL),188,75,3(1),3,1,189,0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.71
29,29,137840,George Puscas,26, FW,188,77,1(3),1,3,67,0,0,0.5,0.3,0.0,0.0,0.3,0.8,0.8,6.06
30,30,19676,Juan Carrizo,38, GK,187,87,1,1,0,90,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.18
31,31,78892,Marco Andreolli,36, D(C),187,81,5(1),5,1,449,0,0,0.2,0.3,0.0,0.7,0.2,0.0,0.2,6.81
32,32,73948,Rene Krhin,32, DMC,189,80,0(3),0,3,30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.07
33,33,9972,Samir Handanovic,38, GK,193,92,37,37,0,3330,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.75
