,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS
1,Inter,38,28,7,3,89,35,91,78.35,71.41,40.59,34.98,36.44,11.96,16.71,359,188,77.32
2,AC Milan,38,24,7,7,74,41,79,75.05,59.55,48.84,45.02,14.52,10.01,11.72,310,236,68.75
3,Atalanta,38,23,9,6,90,47,78,82.01,76.68,39.94,33.73,42.94,9.05,12.76,454,162,77.57
4,Juventus,38,23,9,6,77,38,78,83.53,75.77,38.33,31.48,44.29,9.1,14.5,303,201,79.47
5,Napoli,38,24,5,9,86,41,77,74.98,68.76,41.88,38.07,30.68,12.44,14.14,294,172,73.83
6,Lazio,38,21,5,12,61,55,68,58.7,50.96,48.84,41.23,9.73,10.38,12.79,308,185,57.38
7,Roma,38,18,9,11,68,55,63,72.11,66.02,50.33,45.61,20.4,10.72,13.18,311,219,65.2
8,Sassuolo,38,17,11,10,64,56,62,61.61,50.95,54.82,51.02,-0.07,8.79,15.22,328,274,57.31
9,Sampdoria,38,15,7,16,52,54,52,46.7,42.13,58.63,51.69,-9.56,11.91,10.01,216,274,44.07
10,Verona,38,10,13,15,43,48,43,47.97,45.68,52.45,47.12,-1.44,8.55,9.32,226,252,49.62
11,Genoa,38,10,12,16,47,58,42,40.71,37.67,62.68,57.35,-19.69,13.48,9.78,146,316,38.6
12,Bologna,38,10,11,17,51,65,41,57.53,54.39,67.59,60.61,-6.22,9.36,10.01,224,297,49.36
13,Fiorentina,38,9,13,16,47,59,40,46.2,41.63,62.02,53.52,-11.88,12.19,9.07,186,228,42.99
14,Udinese,38,10,10,18,42,58,40,48.24,45.19,56.38,45.72,-0.53,13.79,9.01,221,258,48.91
15,Spezia,38,9,12,17,52,72,39,47.9,44.09,70.59,62.87,-18.78,10.54,10.89,202,260,39.52
16,Cagliari,38,9,10,19,43,59,37,45.6,41.79,65.26,61.46,-19.66,13.16,9.27,214,329,41.13
17,Torino,38,7,16,15,50,69,37,49.6,44.92,64.22,56.59,-11.67,10.86,8.8,165,261,44.68
18,Benevento,38,7,12,19,40,75,33,38.65,33.18,70.48,66.57,-33.4,13.88,7.88,205,302,32.75
19,Crotone,38,6,5,27,45,92,23,39.64,32.79,77.48,73.68,-40.89,12.22,8.88,164,301,29.87
20,Parma Calcio 1913,38,3,11,24,39,83,20,42.98,39.17,66.69,64.41,-25.23,11.63,11.0,171,292,37.49
